epoch,loss_epoch,loss_step,step,val_loss
0,,8.54446200498627e-05,0,
0,,2.9973084338326625e-05,1,
0,,5.445594316965501e-06,2,
0,,2.931829706995866e-06,3,
0,,4.474684377878894e-06,4,
0,,8.220062131487237e-06,5,
0,,1.7722501642519476e-05,6,
0,,1.3486464509070088e-05,7,
0,,5.53474715194018e-06,8,
0,,1.8008854607778724e-05,9,
0,,6.237846097028481e-06,10,
0,,7.808470303724781e-06,11,
0,,5.2420243246225104e-06,12,
0,,2.6386733333891498e-06,13,
0,,2.3997078457769423e-06,14,
0,,4.676670666334695e-06,15,
0,,3.993286729591722e-06,16,
0,,4.96592675735488e-06,17,
0,,2.970031388461003e-06,18,
0,,4.342791891520026e-06,19,
0,,2.9498214600408694e-06,20,
0,,2.1877896205100897e-06,21,
0,,1.6324740591047835e-06,22,
0,,2.01055953655479e-06,23,
0,,3.3316565738438266e-06,24,
0,,4.588283673488257e-06,25,
0,,3.980871506454659e-06,26,
0,,1.3191961380174366e-06,27,
0,,7.307491528935335e-07,28,
0,,4.163093723978962e-07,29,
0,,3.8887366535757996e-07,30,
0,,7.152384206604624e-07,31,
0,,8.728625130267331e-07,32,
0,,1.0294165605147328e-06,33,
0,,1.2104582526708133e-06,34,
0,,,34,1.4347842522792003e-06
0,7.539498076461884e-06,,34,
1,,1.356440956582776e-06,35,
1,,1.819401542335915e-06,36,
1,,1.0568417732760447e-06,37,
1,,7.678945336161406e-07,38,
1,,2.474420964168645e-07,39,
1,,2.3371063930133658e-07,40,
1,,2.618628290336483e-07,41,
1,,3.5226143145794334e-07,42,
1,,2.5839641168846387e-07,43,
1,,7.380655389493035e-07,44,
1,,4.1477654486372884e-07,45,
1,,3.617914647211466e-07,46,
1,,5.120914984043115e-07,47,
1,,2.740116727796589e-07,48,
1,,2.6613379949438987e-07,49,
1,,2.7988577048492986e-07,50,
1,,2.4614548942687206e-07,51,
1,,4.823908553880788e-07,52,
1,,2.995399142708541e-07,53,
1,,2.6277024450282136e-07,54,
1,,2.3378904923828415e-07,55,
1,,2.6052347952109914e-07,56,
1,,3.1602984278206125e-07,57,
1,,7.548861447779613e-08,58,
1,,1.6573768230661315e-07,59,
1,,2.6069106490271296e-07,60,
1,,1.529835591527564e-07,61,
1,,3.137003623586847e-07,62,
1,,3.396732765786743e-07,63,
1,,1.4436668656047745e-07,64,
1,,1.3789076581104098e-07,65,
1,,1.7881450853714633e-07,66,
1,,1.0701380531587743e-07,67,
1,,1.40529555376079e-07,68,
1,,1.5270257805035015e-07,69,
1,,,69,1.6527306940058654e-07
1,3.8490828108471074e-07,,69,
